"t"	"h"	"uh"
225.288194444445	-18.655	1.06142297001956
415.279861111114	1.24299999999999	1.26191235367971
529.118055555555	-7.99000000000001	0.963482220267237
753.949999999997	1.97199999999999	1.49456977543324
904.468055555553	-5.444	1.091396841008
1092.95	-2.51300000000001	1.22418646904299
1269.09791666667	-8.64200000000001	0.805765305102938
1457.97013888889	-2.251	1.77890165907919
1543.63958333334	3.42599999999999	0.933982513187351
1843.9	1.997	2.10337916572243
2021.74791666667	-7.78400000000001	0.965837738739949
2279.62013888889	-5.78	1.6072372898385
2391.80833333333	-0.378	1.22073396388662
2726.99791666667	-48.3186	0.704778203411097
3106.63819444444	-47.5412	0.629003466788513
3415.65972222222	-49.491	0.543965693096267
3649.15	-54.0562	0.725519095132199
3825.48819444445	-55.6848	0.715950471846025
4037.30972222222	-59.1733	1.21684804976704
4137.12013888889	-48.4414	1.39049699616895
4209.77847222222	-59.4992	0.707252356745972
4477.77013888889	-50.391	0.913216250278394
4637.82847222222	-69.5095	0.613726362570401
4817.95972222222	-62.5299	0.689807166782674
4918.51805555556	-74.8297	0.468428952692554
5297.52152777778	-71.8286	0.560789131184457
5493.87569444445	-63.6245	0.580188202261588
5663.97638888888	-74.4684	0.484046206178525
6017.05277777778	-64.9653	0.586607279099236
